Earth_x,Earth_y,Sun_x,Sun_y
122357827013.58609,82996.00657358668,86869893035.87193,17287.93104764858
120853563409.66887,87512.57884236176,88956180227.06781,18749.268965284686
119313858444.72672,92135.564287628,91016380229.53433,20288.934027763302
117739165962.66827,96863.60023677482,93049890634.06265,21908.734977062893
116129950058.44864,101695.29323828293,95056116977.95901,23610.456695640514
114486684937.15633,106629.21948481772,97034472919.86339,25395.859681536487
112809854770.1071,111663.9252453094,98984380412.00818,27266.6795311651
111099953547.99324,116797.92730587452,100905269869.86557,29224.626429946216
109357484931.13763,122029.7134194299,102796580339.13277,31271.384650929784
107582962096.90327,127357.74276384801,104657759660.00555,33408.612061562126
105776907584.30907,132780.4464084999,106488264628.69165,35637.939638739925
103939853135.90427,138296.22778902954,108287561156.11626,37960.970992294606
102072339536.95425,143903.46319020074,110055124423.77333,40379.28189704671
100174916451.99124,149600.50223665583,111790439036.67717,42894.41983356669
98248142258.78444,155385.66839142254,113492999173.36995,45507.903537775186
96292583879.78477,161257.25946200374,115162308732.94193,48221.22255951282
94308816611.09987,167213.5481138822,116797881479.02222,51035.83683020586
92297423949.056,173252.7823912708,118399241180.69908,53953.17623975123
90258997414.40414,179373.18624493637,119965921750.32974,56974.640222740505
88194136374.22795,185572.96006692344,121497467378.20105,60101.59735413947
86103447861.61203,191850.2812320025,122993432664.00327,63335.38495453623
83987546393.1298,198203.3046456656,124453382745.08055,66677.30870506738
81847053784.21024,204630.16329848996,125876893421.42276,70128.64227212839
79682598962.44383,211128.96882668952,127263551277.36441,73690.62694197074
77494817778.88844,217697.81207867182,128612953799.95792,77364.47126528478
75284352817.43602,224334.76368741682,129924709493.98907,81151.35071186395
73051853202.30206,231037.87464849275,131198437993.60443,85052.40733544217
70797974403.69958,237805.17690352243,132433770170.52098,89068.74944879279
68523378041.760345,244634.68392891265,133630348238.78989,93201.45130917394
66228731688.766,251524.39132965787,134787825856.08739,97451.55281420123
63914708669.75247,258472.27743802828,135905868221.50691,101820.05920822568
61581987861.551155,265476.3039169515,136984152169.82782,106307.94079929031
59231253490.3307,272534.41636789596,138022366262.2374,110916.1326867363
56863194927.703766,279644.5449430634,139020210873.48386,115645.53449952466
54478506485.46291,286804.60496169707,139977398275.43948,120497.01014533713
52077887209.01061,294012.49753031106,140893652717.05386,125471.38757051509
49662040669.548,301266.11016664625,141768710500.679,130569.45853089256
47231674755.08766,308563.31742715766,142602320054.74866,135791.97837357526
44787501460.35562,315901.98153783625,143394242002.79617,141139.66582971413
42330236675.647964,323279.95302817016,144144249228.79523,146613.2028183183
39860599974.7076,330695.0713680474,144852126938.81042,152213.23426114846
37379314401.68685,338145.1656074038,145517672718.94498,157940.36790872843
34887106257.26149,345628.05501841847,146140696589.57394,163795.17417750857
32384704883.962067,353141.5497400596,146721021055.85342,169778.18599821193
29872842450.788216,360683.4514247827,147258481154.49612,175889.8986753893
27352253737.171814,368251.5538871845,147752924496.8063,182130.76975820662
24823675916.35471,375843.6437544141,148204211307.9669,188501.21892248464
22287848338.246777,383457.5011181449,148612214462.5739,195001.62786400644
19745512311.829967,391090.9001879092,148976819516.41376,201632.34020310568
17197410887.173946,398741.60994559934,149297924734.4804,208393.66140054457
14644288637.128813,406407.3948009385,149575441115.23068,215285.85868468703
12086891438.760244,414086.01524772437,149809292411.07687,222309.16098996933
9525966254.59232,421775.2285206509,149999415145.11725,229463.75890666666
6962260913.723043,429472.78925251175,150145758624.1058,236749.80464195088
4396523892.877457,437176.4501315916,150248284947.6644,244167.4119922315
1829504097.4629917,444883.9625590502,150306969013.74057,251716.65632676802
-738049357.3084884,452593.0773061066,150321798520.31653,259397.57458253892
-3305387365.167776,460301.54517083045,150292773963.37503,267210.1652703491
-5871761047.340595,468007.1176343478,150219908631.12946,275154.38849215436
-8436421970.841415,475707.5475162718,150103228594.52618,283230.16596957756
-10998622366.445463,483400.5896291664,149942772694.02893,291437.38108358945
-13557615346.275885,491084.00143185485,149738592522.69498,299775.87892532215
