Earth_vx,Earth_vy,Sun_vx,Sun_vy
-28903.99026461102,0.08678463039731375,6963.821394146132,0.06850589172154822
-29017.730361535163,0.08712613661090399,6468.660676632988,0.06999261862199493
-29122.98117355471,0.08744215362919495,5971.663431440311,0.07148485972219135
-29219.713740934643,0.08773259450018188,5472.975425178025,0.07298217735587578
-29307.90161414952,0.08799737980879889,4972.742857451448,0.07448413255671194
-29387.520859518183,0.08823643769383742,4471.112317400908,0.07599028518877922
-29458.550064078874,0.08844970386258373,3968.230740199707,0.07750019407718826
-29520.970339705753,0.08863712160317885,3464.2453635239103,0.07901341713878096
-29574.765326468187,0.08879864179470488,2959.303684007382,0.08052951151287484
-29619.921195234336,0.08893422291500225,2453.553413695383,0.08204803369201172
-29656.42664952084,0.08904383104622346,1947.1424365099822,0.08356853965267094
-29684.272926590646,0.08912743987812938,1440.2187647404207,0.08509058498590766
-29703.453797801227,0.08918503070913471,932.9304955714847,0.08661372502787694
-29713.9655682057,0.08921659244511033,425.4257676628377,0.08813751499020496
-29715.807075409535,0.08922212159595061,-82.14728220783786,0.0896615100901686
-29708.9796876858,0.08920162226991434,-589.6405624251506,0.09118526568064511
-29693.48730135208,0.08915510616574893,-1096.9060697271311,0.09270833737979414
-29669.33633741244,0.08908259256260788,-1603.7959322946706,0.09423028120043433
-29636.535737468,0.0889841083077722,-2110.162452726869,0.09575065367907741
-29595.096958899907,0.08885968780218717,-2615.8581508900184,0.09726901200458285
-29545.03396932862,0.08870937298382632,-3120.7358066280703,0.09878491414639665
-29486.36324035374,0.08853321330889521,-3624.648502322565,0.10029791898233809
-29419.103740578736,0.08833126573088801,-4127.449665290127,0.10180758642589881
-29343.276927925042,0.0881035946775105,-4628.99311000577,0.10331347755301887
-29258.906741240364,0.08785027202548389,-5129.133080140383,0.10481515472830488
-29166.019591205997,0.08757137707324394,-5627.724290400911,0.10631218173065574
-29064.644350548326,0.08726699651155083,-6124.621968161888,0.10780412387826184
-28954.812343559694,0.08693722439202538,-6619.681894877112,0.10929054815294426
-28836.55733493409,0.08658216209362814,-7112.760447260407,0.11077102332380048
-28709.915517923226,0.08620191828709779,-7603.714638224546,0.11224512007012419
-28574.92550181876,0.08579660889736634,-8092.402157567592,0.11371241110356646
-28431.62829876653,0.0853663570639687,-8578.681412396018,0.1151724712895068
-28280.067309918835,0.08491129309946471,-9062.41156727414,0.11662487776760241
-28120.28831093101,0.08443155444589243,-9543.452584089586,0.11806921007148469
-27952.339436808536,0.0839272856292713,-10021.665261624577,0.11950505024757266
-27776.271166111208,0.08339863821217505,-10496.91127482309,0.12093198297297313
-27592.136304520936,0.08284577074439371,-10969.053213743984,0.12234959567243799
-27399.989967779908,0.08226884871170521,-11437.954622190458,0.12375747863434967
-27199.88956400595,0.08166804448277706,-11903.480036006256,0.1251552251257061
-26991.89477539208,0.08104353725421899,-12365.495021029277,0.12654243150607686
-26776.067539297328,0.0803955129938078,-12823.866210693357,0.12791869734050315
-26552.472028736,0.0797241643819062,-13278.461343269166,0.12928362551131398
-26321.174632272723,0.0790296907510974,-13729.149298735329,0.13063682232883228
-26082.24393333068,0.07831229802405774,-14175.80013527102,0.13197789764094447
-25835.750688920518,0.07757219864968998,-14618.285125361459,0.13330646494150764
-25581.767807797587,0.07680961153754008,-15056.476791507892,0.13462214147756923
-25320.370328055164,0.07602476199052059,-15490.248941533786,0.13592454835537449
-25051.63539416148,0.07521788163596399,-15919.476703479153,0.13721331064513703
-24775.64223344845,0.07438920835502974,-16344.036560075056,0.13848805748454915
-24492.47213206002,0.0735389862104889,-16763.80638279052,0.13974842218100805
-24202.208410368214,0.0726674653729105,-17178.665465444225,0.14099404231253543
-23904.93639786499,0.07177490204527387,-17588.49455737351,0.14222455982736787
-23600.743407538077,0.07086155838603188,-17993.175896153414,0.14343962114219622
-23289.71870973908,0.06992770243064948,-18392.593239858565,0.14463887723903238
-22971.95350555217,0.06897360801164283,-18786.63189886095,0.14582198376068256
-22647.540899671734,0.06799955467714411,-19175.178767156736,0.14698860110480647
-22316.57587279747,0.06700582760801736,-19558.12235321546,0.14813839451654237
-21979.155253555407,0.06599271753355099,-19935.35281034505,0.14927103417967857
-21635.377689953402,0.06496052064575251,-20306.761966566315,0.15038619530635197
-21285.34362037979,0.06390953851227156,-20672.243353990692,0.15148355822525514
-20929.15524415377,0.06284007798797704,-21031.692237695188,0.1525628084683337
-20566.9164916363,0.061752451125214686,-21385.00564408856,0.15362363685595623
-20198.732993910213,0.06064697508277114,-21732.08238876303,0.1546657395805394
-19824.712052038372,0.059523972033571224,-22072.823103825853,0.15568881828861136
-19444.96260590871,0.05838376907113464,-22407.130264705323,0.15669258016129722
-19059.595202674987,0.057226698114819,-22734.908216425847,0.15767673799321022
-18668.72196480221,0.05605309581387569,-23056.06319934693,0.15864101026973346
-18272.45655772563,0.0548633034503456,-23370.503374361026,0.15958512124267674
-17870.914157132287,0.0536576668408215,-23678.138847545368,0.16050880100429407
-17464.211415874124,0.05243653623710418,-23978.881694263004,0.16141178555964739
-17052.46643052165,0.05120026622577941,-24272.645982708455,0.1622938168973026
-16635.79870756724,0.049949215626742836,-24559.347796893486,0.16315464305834482
-16214.329129287113,0.048683747390700145,-24838.905259068673,0.16399401820369935
-15788.179919271124,0.04740422849566974,-25111.23855157656,0.16481170267974615
-15357.474607629421,0.04611102984251527,-25376.269938132325,0.16560746308221524
-14922.337995885136,0.04480452614953545,-25633.923784528037,0.16638107231835159
-14482.896121562258,0.043485095846138654,-25884.12657875667,0.16713230966733772
